top-left, top-middle, top-right,middle-left, middle-middle, middle-right,bottom-left, bottom-middle, bottom-right,class
O,X,X,X,O,X,O,,O,negative
O,X,X,X,O,X,,O,O,negative
O,X,X,X,O,O,X,,O,negative
O,X,X,X,O,O,,X,O,negative
O,X,X,X,O,,X,O,O,negative
O,X,X,X,O,,O,X,O,negative
O,X,X,X,O,,,,O,negative
O,X,X,X,,X,O,O,O,negative
O,X,X,O,X,X,O,O,,negative
O,X,X,O,X,X,O,,O,negative
O,X,X,O,X,O,O,,X,negative
O,X,X,O,X,,O,O,X,negative
O,X,X,O,X,,O,,,negative
O,X,X,O,O,X,X,,O,negative
O,X,X,O,O,X,O,X,,negative
O,X,X,O,O,X,,X,O,negative
O,X,X,O,O,O,X,X,,negative
O,X,X,O,O,O,X,,X,negative
O,X,X,O,O,O,,X,X,negative
O,X,X,O,O,,X,X,O,negative
O,X,X,O,O,,O,X,X,negative
O,X,X,O,,X,O,X,O,negative
O,X,X,O,,X,O,,,negative
O,X,X,O,,O,O,X,X,negative
O,X,X,O,,,O,X,,negative
O,X,X,O,,,O,,X,negative
O,X,X,,X,X,O,O,O,negative
O,X,X,,O,X,X,O,O,negative
O,X,X,,O,X,O,X,O,negative
O,X,X,,O,X,,,O,negative
O,X,X,,O,O,X,X,O,negative
O,X,X,,O,,X,,O,negative
O,X,X,,O,,,X,O,negative
O,X,O,X,X,O,X,,O,negative
O,X,O,X,O,X,X,,O,negative
O,X,O,X,O,X,O,X,,negative
O,X,O,X,O,X,O,,X,negative
O,X,O,X,O,X,,X,O,negative
O,X,O,X,O,,X,X,O,negative
O,X,O,X,O,,O,X,X,negative
O,X,O,X,,O,X,X,O,negative
O,X,O,O,X,X,O,,X,negative
O,X,O,O,,X,O,X,X,negative
O,X,O,,O,X,X,X,O,negative
O,X,O,,O,X,O,X,X,negative
O,X,,X,O,X,X,O,O,negative
O,X,,X,O,X,O,X,O,negative
O,X,,X,O,X,,,O,negative
O,X,,X,O,O,X,X,O,negative
O,X,,X,O,,X,,O,negative
O,X,,X,O,,,X,O,negative
O,X,,O,X,X,O,O,X,negative
O,X,,O,X,X,O,,,negative
O,X,,O,X,,O,,X,negative
O,X,,O,O,X,X,X,O,negative
O,X,,O,O,X,O,X,X,negative
O,X,,O,,X,O,X,,negative
O,X,,O,,X,O,,X,negative
O,X,,O,,,O,X,X,negative
O,X,,,O,X,X,,O,negative
O,X,,,O,X,,X,O,negative
O,X,,,O,,X,X,O,negative
O,O,X,X,O,X,X,O,,negative
O,O,X,X,O,X,X,,O,negative
O,O,X,X,O,X,,X,O,negative
O,O,X,X,O,,X,X,O,negative
O,O,X,X,O,,X,O,X,negative
O,O,X,O,X,X,O,X,,negative
O,O,X,O,X,,O,X,X,negative
O,O,X,,O,X,X,X,O,negative
O,O,O,X,X,O,X,X,,negative
O,O,O,X,X,O,X,,X,negative
O,O,O,X,X,O,,X,X,negative
O,O,O,X,X,,X,X,O,negative
O,O,O,X,X,,X,O,X,negative
O,O,O,X,X,,X,,,negative
O,O,O,X,X,,O,X,X,negative
O,O,O,X,X,,,X,,negative
O,O,O,X,X,,,,X,negative
O,O,O,X,O,X,X,X,,negative
O,O,O,X,O,X,X,,X,negative
O,O,O,X,O,X,,X,X,negative
O,O,O,X,,X,X,X,O,negative
O,O,O,X,,X,X,O,X,negative
O,O,O,X,,X,X,,,negative
O,O,O,X,,X,O,X,X,negative
O,O,O,X,,X,,X,,negative
O,O,O,X,,X,,,X,negative
O,O,O,X,,,X,X,,negative
O,O,O,X,,,X,,X,negative
O,O,O,X,,,,X,X,negative
O,O,O,O,X,X,X,X,,negative
O,O,O,O,X,X,X,,X,negative
O,O,O,O,X,X,,X,X,negative
O,O,O,,X,X,X,X,O,negative
O,O,O,,X,X,X,O,X,negative
O,O,O,,X,X,X,,,negative
O,O,O,,X,X,O,X,X,negative
O,O,O,,X,X,,X,,negative
O,O,O,,X,X,,,X,negative
O,O,O,,X,,X,X,,negative
O,O,O,,X,,X,,X,negative
O,O,O,,X,,,X,X,negative
O,O,O,,,X,X,X,,negative
O,O,O,,,X,X,,X,negative
O,O,O,,,X,,X,X,negative
O,O,,X,O,X,X,X,O,negative
O,O,,X,O,X,X,O,X,negative
O,O,,O,X,X,O,X,X,negative
O,,X,X,O,X,X,O,O,negative
O,,X,X,O,X,O,X,O,negative
O,,X,X,O,X,,,O,negative
O,,X,X,O,O,X,X,O,negative
O,,X,X,O,,X,,O,negative
O,,X,X,O,,,X,O,negative
O,,X,O,X,X,O,X,O,negative
O,,X,O,X,X,O,,,negative
O,,X,O,X,O,O,X,X,negative
O,,X,O,X,,O,X,,negative
O,,X,O,X,,O,,X,negative
O,,X,O,O,X,X,X,O,negative
O,,X,O,,X,O,X,,negative
O,,X,O,,,O,X,X,negative
O,,X,,O,X,X,,O,negative
O,,X,,O,X,,X,O,negative
O,,X,,O,,X,X,O,negative
O,,O,X,X,O,X,X,O,negative
O,,O,X,O,X,X,X,O,negative
O,,O,X,O,X,O,X,X,negative
O,,O,O,X,X,O,X,X,negative
O,,,X,O,X,X,,O,negative
O,,,X,O,X,,X,O,negative
O,,,X,O,,X,X,O,negative
O,,,O,X,X,O,X,,negative
O,,,O,X,X,O,,X,negative
O,,,O,X,,O,X,X,negative
O,,,O,,X,O,X,X,negative
O,,,,O,X,X,X,O,negative
,X,X,X,X,O,O,O,O,negative
,X,X,X,O,X,O,O,O,negative
,X,X,X,,,O,O,O,negative
,X,X,O,X,X,O,O,O,negative
,X,X,O,O,O,X,X,O,negative
,X,X,O,O,O,X,O,X,negative
,X,X,O,O,O,X,,,negative
,X,X,O,O,O,O,X,X,negative
,X,X,O,O,O,,X,,negative
,X,X,O,O,O,,,X,negative
,X,X,,X,,O,O,O,negative
,X,X,,,X,O,O,O,negative
,X,O,X,X,O,X,O,O,negative
,X,O,X,X,O,,,O,negative
,X,O,X,O,X,O,X,O,negative
,X,O,X,O,X,O,O,X,negative
,X,O,X,O,X,O,,,negative
,X,O,X,O,O,X,X,O,negative
,X,O,X,O,O,O,X,X,negative
,X,O,X,O,,O,X,,negative
,X,O,X,O,,O,,X,negative
,X,O,X,,O,X,,O,negative
,X,O,X,,O,,X,O,negative
,X,O,O,O,X,O,X,X,negative
,X,O,,X,O,X,,O,negative
,X,O,,O,X,O,X,,negative
,X,O,,O,X,O,,X,negative
,X,O,,O,,O,X,X,negative
,X,O,,,O,X,X,O,negative
,X,,X,X,,O,O,O,negative
,X,,X,,X,O,O,O,negative
,X,,O,O,O,X,X,,negative
,X,,O,O,O,X,,X,negative
,X,,O,O,O,,X,X,negative
,X,,,X,X,O,O,O,negative
,O,X,X,O,X,X,O,O,negative
,O,X,X,O,X,,O,,negative
,O,X,X,O,O,X,O,X,negative
,O,X,X,O,,X,O,,negative
,O,X,X,O,,,O,X,negative
,O,X,,O,X,X,O,,negative
,O,X,,O,,X,O,X,negative
,O,O,X,X,O,X,X,O,negative
,O,O,X,O,X,X,O,X,negative
,O,O,X,O,X,O,X,X,negative
,O,,X,O,X,X,O,,negative
,O,,X,O,X,,O,X,negative
,O,,X,O,,X,O,X,negative
,O,,,O,X,X,O,X,negative
,,X,X,X,,O,O,O,negative
,,X,X,,X,O,O,O,negative
,,X,O,O,O,X,X,,negative
,,X,O,O,O,X,,X,negative
,,X,O,O,O,,X,X,negative
,,X,,X,X,O,O,O,negative
,,O,X,X,O,X,,O,negative
,,O,X,X,O,,X,O,negative
,,O,X,O,X,O,X,,negative
,,O,X,O,X,O,,X,negative
,,O,X,O,,O,X,X,negative
,,O,X,,O,X,X,O,negative
,,O,,X,O,X,X,O,negative
,,O,,O,X,O,X,X,negative
X,X,O,O,X,X,X,O,O,negative
X,X,O,O,O,X,X,X,O,negative
X,X,O,O,O,X,X,O,X,negative
X,O,X,X,X,O,O,X,O,negative
X,O,X,X,O,X,O,X,O,negative
X,O,X,X,O,O,O,X,X,negative
X,O,X,O,X,X,O,X,O,negative
X,O,X,O,O,X,X,X,O,negative
X,O,O,O,X,X,X,X,O,negative
O,X,X,X,X,O,O,O,X,negative
O,X,X,X,O,O,X,O,X,negative
O,X,X,X,O,O,O,X,X,negative
O,X,O,X,X,O,X,O,X,negative
O,X,O,X,O,X,X,O,X,negative
O,X,O,O,X,X,X,O,X,negative
O,O,X,X,X,O,O,X,X,negative
